date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:54:13	49485/49485	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:13%20GMT	https://bcc.ca.gov/	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/index.html	(from )
11:54:13	113/113	---M--	200	added ('OK')	text/plain	etag:%2271-5ac1566f24f40%22	https://bcc.ca.gov/robots.txt		(from )
11:54:14	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Development/downloaded-websites/bcc.ca.gov/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from https://bcc.ca.gov/)
11:54:14	15086/15086	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%223aee-5ae2e02f6a340%22	https://bcc.ca.gov/favicon.ico	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/favicon.ico	(from https://bcc.ca.gov/)
11:54:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2023%20Jun%202023%2018:54:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Development/downloaded-websites/bcc.ca.gov/www.googletagmanager.com/gtm.25445.delayed	(from https://bcc.ca.gov/)
11:54:15	17383/17383	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2023%20Jun%202023%2018:54:15%20GMT	https://tags.srv.stackadapt.com/events.js	C:/Development/downloaded-websites/bcc.ca.gov/tags.srv.stackadapt.com/events.js	(from https://bcc.ca.gov/)
11:54:16	7591/7591	---M--	200	added ('OK')	application/javascript	etag:%221da7-5f90221d9d5dd%22	https://www.dca.ca.gov/js/warning.js	C:/Development/downloaded-websites/bcc.ca.gov/www.dca.ca.gov/js/warning.js	(from https://bcc.ca.gov/)
11:54:16	114192/114192	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2023%20Jun%202023%2018:54:16%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Development/downloaded-websites/bcc.ca.gov/connect.facebook.net/en_US/fbevents.js	(from https://bcc.ca.gov/)
11:54:17	29941/29941	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:16%20GMT	https://bcc.ca.gov/accessibility.html	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/accessibility.html	(from https://bcc.ca.gov/)
11:54:17	41024/41024	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:17%20GMT	https://bcc.ca.gov/clear/forms.html	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/forms.html	(from https://bcc.ca.gov/)
11:54:17	30954/30954	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:17%20GMT	https://bcc.ca.gov/clear/e_learning.html	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/clear/e_learning.html	(from https://bcc.ca.gov/)
11:54:17	795910/795910	---M--	200	added ('OK')	application/pdf	etag:%22c2506-5b40496f41240%22	https://bcc.ca.gov/about_us/documents/iservices_api_user_guide.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/iservices_api_user_guide.pdf	(from https://bcc.ca.gov/)
11:54:18	43676/43676	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:17%20GMT	https://bcc.ca.gov/consumers/weedwise.html	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/consumers/weedwise.html	(from https://bcc.ca.gov/)
11:54:18	216586/216586	---M--	200	added ('OK')	application/pdf	etag:%2234e0a-5c250e6265f80%22	https://bcc.ca.gov/about_us/documents/media_20210514.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/media_20210514.pdf	(from https://bcc.ca.gov/)
11:54:18	222947/222947	---M--	200	added ('OK')	application/pdf	etag:%22366e3-5c1c508ecad80%22	https://bcc.ca.gov/about_us/documents/media_20210507.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/media_20210507.pdf	(from https://bcc.ca.gov/)
11:54:18	174967/174967	---M--	200	added ('OK')	application/pdf	etag:%222ab77-5bd96992a8d00%22	https://bcc.ca.gov/about_us/documents/media_20210315.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/media_20210315.pdf	(from https://bcc.ca.gov/)
11:54:19	232565/232565	---M--	200	added ('OK')	application/pdf	etag:%2238c75-5bba26cdbe640%22	https://bcc.ca.gov/about_us/documents/media_20210218.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/media_20210218.pdf	(from https://bcc.ca.gov/)
11:54:19	214721/214721	---M--	200	added ('OK')	application/pdf	etag:%22346c1-5bb7a1bc73e80%22	https://bcc.ca.gov/about_us/documents/media_20210215.pdf	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/about_us/documents/media_20210215.pdf	(from https://bcc.ca.gov/)
11:54:19	39652/39652	---MC-	200	added ('OK')	text/html	date:Fri,%2023%20Jun%202023%2018:54:19%20GMT	https://bcc.ca.gov/law_regs/	C:/Development/downloaded-websites/bcc.ca.gov/bcc.ca.gov/law_regs/index.html	(from https://bcc.ca.gov/)
